year,unitid,inst_name,state_name,state_of_residence,type_of_freshman,enrollment_fall
2016,104179,University of Arizona,Arizona,Iowa,Total,36
2016,104179,University of Arizona,Arizona,Foreign countries,Total,463
2016,104179,University of Arizona,Arizona,Kentucky,Total,6
2016,104179,University of Arizona,Arizona,Florida,Total,46
2016,104179,University of Arizona,Arizona,South Dakota,Total,1
2016,104179,University of Arizona,Arizona,Michigan,Total,26
2016,104179,University of Arizona,Arizona,Delaware,Total,2
2016,104179,University of Arizona,Arizona,Alabama,Total,5
2016,104179,University of Arizona,Arizona,Kansas,Total,17
2016,104179,University of Arizona,Arizona,Maine,Total,4
2016,104179,University of Arizona,Arizona,Outlying areas total,Total,5
2016,104179,University of Arizona,Arizona,Arkansas,Total,4
2016,104179,University of Arizona,Arizona,Oregon,Total,35
2016,104179,University of Arizona,Arizona,Colorado,Total,98
2016,104179,University of Arizona,Arizona,Massachusetts,Total,51
2016,104179,University of Arizona,Arizona,Utah,Total,10
2016,104179,University of Arizona,Arizona,Nebraska,Total,8
2016,104179,University of Arizona,Arizona,New York,Total,97
2016,104179,University of Arizona,Arizona,Residence not reported (balance line),Total,9
2016,104179,University of Arizona,Arizona,Total,Total,7753
2016,104179,University of Arizona,Arizona,Rhode Island,Total,5
2016,104179,University of Arizona,Arizona,South Carolina,Total,10
2016,104179,University of Arizona,Arizona,California,Total,1246
2016,104179,University of Arizona,Arizona,North Dakota,Total,1
2016,104179,University of Arizona,Arizona,Nevada,Total,53
2016,104179,University of Arizona,Arizona,Hawaii,Total,19
2016,104179,University of Arizona,Arizona,State unknown,Total,67
2016,104179,University of Arizona,Arizona,Virginia,Total,39
2016,104179,University of Arizona,Arizona,Oklahoma,Total,6
2016,104179,University of Arizona,Arizona,Alaska,Total,12
2016,104179,University of Arizona,Arizona,New Hampshire,Total,14
2016,104179,University of Arizona,Arizona,Guam,Total,5
2016,104179,University of Arizona,Arizona,Pennsylvania,Total,71
2016,104179,University of Arizona,Arizona,Indiana,Total,24
2016,104179,University of Arizona,Arizona,North Carolina,Total,15
2016,104179,University of Arizona,Arizona,Idaho,Total,17
2016,104179,University of Arizona,Arizona,New Mexico,Total,36
2016,104179,University of Arizona,Arizona,Illinois,Total,236
2016,104179,University of Arizona,Arizona,Wyoming,Total,5
2016,104179,University of Arizona,Arizona,Ohio,Total,36
2016,104179,University of Arizona,Arizona,Minnesota,Total,59
2016,104179,University of Arizona,Arizona,Missouri,Total,29
2016,104179,University of Arizona,Arizona,Vermont,Total,5
2016,104179,University of Arizona,Arizona,Connecticut,Total,39
2016,104179,University of Arizona,Arizona,Arizona,Total,4236
2016,104179,University of Arizona,Arizona,Tennessee,Total,11
2016,104179,University of Arizona,Arizona,Mississippi,Total,1
2016,104179,University of Arizona,Arizona,Montana,Total,7
2016,104179,University of Arizona,Arizona,Texas,Total,118
2016,104179,University of Arizona,Arizona,Maryland,Total,44
2016,104179,University of Arizona,Arizona,Georgia,Total,39
2016,104179,University of Arizona,Arizona,Washington,Total,160
2016,104179,University of Arizona,Arizona,Louisiana,Total,9
2016,104179,University of Arizona,Arizona,US total,Total,7276
2016,104179,University of Arizona,Arizona,New Jersey,Total,102
2016,104179,University of Arizona,Arizona,District of Columbia,Total,21
2016,104179,University of Arizona,Arizona,Wisconsin,Total,38
2016,166027,Harvard University,Massachusetts,North Dakota,Total,3
2016,166027,Harvard University,Massachusetts,Utah,Total,7
2016,166027,Harvard University,Massachusetts,Vermont,Total,5
2016,166027,Harvard University,Massachusetts,Idaho,Total,2
2016,166027,Harvard University,Massachusetts,Massachusetts,Total,218
2016,166027,Harvard University,Massachusetts,Foreign countries,Total,193
2016,166027,Harvard University,Massachusetts,District of Columbia,Total,5
2016,166027,Harvard University,Massachusetts,Florida,Total,61
2016,166027,Harvard University,Massachusetts,Washington,Total,17
2016,166027,Harvard University,Massachusetts,Puerto Rico,Total,3
2016,166027,Harvard University,Massachusetts,Total,Total,1659
2016,166027,Harvard University,Massachusetts,Maine,Total,5
2016,166027,Harvard University,Massachusetts,New Jersey,Total,68
2016,166027,Harvard University,Massachusetts,Nevada,Total,5
2016,166027,Harvard University,Massachusetts,New Hampshire,Total,7
2016,166027,Harvard University,Massachusetts,Outlying areas total,Total,4
2016,166027,Harvard University,Massachusetts,West Virginia,Total,4
2016,166027,Harvard University,Massachusetts,New Mexico,Total,7
2016,166027,Harvard University,Massachusetts,North Carolina,Total,22
2016,166027,Harvard University,Massachusetts,Louisiana,Total,5
2016,166027,Harvard University,Massachusetts,Rhode Island,Total,14
2016,166027,Harvard University,Massachusetts,Iowa,Total,5
2016,166027,Harvard University,Massachusetts,Connecticut,Total,47
2016,166027,Harvard University,Massachusetts,Tennessee,Total,11
2016,166027,Harvard University,Massachusetts,Pennsylvania,Total,43
2016,166027,Harvard University,Massachusetts,Texas,Total,75
2016,166027,Harvard University,Massachusetts,Maryland,Total,42
2016,166027,Harvard University,Massachusetts,Michigan,Total,24
2016,166027,Harvard University,Massachusetts,Delaware,Total,4
2016,166027,Harvard University,Massachusetts,Alabama,Total,12
2016,166027,Harvard University,Massachusetts,State unknown,Total,32
2016,166027,Harvard University,Massachusetts,Wisconsin,Total,12
2016,166027,Harvard University,Massachusetts,Colorado,Total,17
2016,166027,Harvard University,Massachusetts,Georgia,Total,32
2016,166027,Harvard University,Massachusetts,Kansas,Total,7
2016,166027,Harvard University,Massachusetts,Minnesota,Total,18
2016,166027,Harvard University,Massachusetts,Montana,Total,3
2016,166027,Harvard University,Massachusetts,New York,Total,213
2016,166027,Harvard University,Massachusetts,Ohio,Total,32
2016,166027,Harvard University,Massachusetts,US total,Total,1462
2016,166027,Harvard University,Massachusetts,California,Total,213
2016,166027,Harvard University,Massachusetts,Indiana,Total,10
2016,166027,Harvard University,Massachusetts,Illinois,Total,46
2016,166027,Harvard University,Massachusetts,Oklahoma,Total,5
2016,166027,Harvard University,Massachusetts,Mississippi,Total,4
2016,166027,Harvard University,Massachusetts,Missouri,Total,11
2016,166027,Harvard University,Massachusetts,South Dakota,Total,2
2016,166027,Harvard University,Massachusetts,Nebraska,Total,4
2016,166027,Harvard University,Massachusetts,Guam,Total,1
2016,166027,Harvard University,Massachusetts,Arizona,Total,17
2016,166027,Harvard University,Massachusetts,Hawaii,Total,15
2016,166027,Harvard University,Massachusetts,South Carolina,Total,5
2016,166027,Harvard University,Massachusetts,Virginia,Total,29
2016,166027,Harvard University,Massachusetts,Oregon,Total,8
2016,166027,Harvard University,Massachusetts,Kentucky,Total,5
2016,166027,Harvard University,Massachusetts,Alaska,Total,2
2016,166027,Harvard University,Massachusetts,Arkansas,Total,2
2015,104179,University of Arizona,Arizona,New Jersey,Total,105
2015,104179,University of Arizona,Arizona,Guam,Total,4
2015,104179,University of Arizona,Arizona,Kansas,Total,6
2015,104179,University of Arizona,Arizona,New York,Total,99
2015,104179,University of Arizona,Arizona,New Mexico,Total,49
2015,104179,University of Arizona,Arizona,Alaska,Total,16
2015,104179,University of Arizona,Arizona,Washington,Total,147
2015,104179,University of Arizona,Arizona,Hawaii,Total,15
2015,104179,University of Arizona,Arizona,California,Total,1460
2015,104179,University of Arizona,Arizona,Outlying areas total,Total,5
2015,104179,University of Arizona,Arizona,Total,Total,8036
2015,104179,University of Arizona,Arizona,District of Columbia,Total,9
2015,104179,University of Arizona,Arizona,Puerto Rico,Total,1
2015,104179,University of Arizona,Arizona,Missouri,Total,21
2015,104179,University of Arizona,Arizona,Nebraska,Total,8
2015,104179,University of Arizona,Arizona,West Virginia,Total,1
2015,104179,University of Arizona,Arizona,Tennessee,Total,11
2015,104179,University of Arizona,Arizona,Maine,Total,5
2015,104179,University of Arizona,Arizona,Vermont,Total,2
2015,104179,University of Arizona,Arizona,US total,Total,7496
2015,104179,University of Arizona,Arizona,Wisconsin,Total,35
2015,104179,University of Arizona,Arizona,Oklahoma,Total,10
2015,104179,University of Arizona,Arizona,Indiana,Total,31
2015,104179,University of Arizona,Arizona,Connecticut,Total,47
2015,104179,University of Arizona,Arizona,Montana,Total,8
2015,104179,University of Arizona,Arizona,Wyoming,Total,1
2015,104179,University of Arizona,Arizona,Colorado,Total,155
2015,104179,University of Arizona,Arizona,Massachusetts,Total,63
2015,104179,University of Arizona,Arizona,New Hampshire,Total,13
2015,104179,University of Arizona,Arizona,Mississippi,Total,1
2015,104179,University of Arizona,Arizona,Georgia,Total,34
2015,104179,University of Arizona,Arizona,South Dakota,Total,4
2015,104179,University of Arizona,Arizona,Pennsylvania,Total,81
2015,104179,University of Arizona,Arizona,North Carolina,Total,14
2015,104179,University of Arizona,Arizona,Virginia,Total,41
2015,104179,University of Arizona,Arizona,State unknown,Total,89
2015,104179,University of Arizona,Arizona,Rhode Island,Total,6
2015,104179,University of Arizona,Arizona,Florida,Total,38
2015,104179,University of Arizona,Arizona,Michigan,Total,20
2015,104179,University of Arizona,Arizona,Utah,Total,21
2015,104179,University of Arizona,Arizona,Ohio,Total,37
2015,104179,University of Arizona,Arizona,Oregon,Total,38
2015,104179,University of Arizona,Arizona,Foreign countries,Total,507
2015,104179,University of Arizona,Arizona,Idaho,Total,15
2015,104179,University of Arizona,Arizona,Texas,Total,141
2015,104179,University of Arizona,Arizona,North Dakota,Total,1
2015,104179,University of Arizona,Arizona,Kentucky,Total,5
2015,104179,University of Arizona,Arizona,South Carolina,Total,4
2015,104179,University of Arizona,Arizona,Delaware,Total,8
2015,104179,University of Arizona,Arizona,Minnesota,Total,46
2015,104179,University of Arizona,Arizona,Nevada,Total,53
2015,104179,University of Arizona,Arizona,Alabama,Total,2
2015,104179,University of Arizona,Arizona,Arkansas,Total,4
2015,104179,University of Arizona,Arizona,Arizona,Total,4160
2015,104179,University of Arizona,Arizona,Illinois,Total,246
2015,104179,University of Arizona,Arizona,Iowa,Total,35
2015,104179,University of Arizona,Arizona,Maryland,Total,29
2015,104179,University of Arizona,Arizona,Residence not reported (balance line),Total,28
2015,104179,University of Arizona,Arizona,Louisiana,Total,6
2015,166027,Harvard University,Massachusetts,Oklahoma,Total,4
2015,166027,Harvard University,Massachusetts,New Mexico,Total,5
2015,166027,Harvard University,Massachusetts,Nevada,Total,4
2015,166027,Harvard University,Massachusetts,Michigan,Total,27
2015,166027,Harvard University,Massachusetts,South Dakota,Total,3
2015,166027,Harvard University,Massachusetts,Georgia,Total,31
2015,166027,Harvard University,Massachusetts,Ohio,Total,32
2015,166027,Harvard University,Massachusetts,Arkansas,Total,2
2015,166027,Harvard University,Massachusetts,Oregon,Total,11
2015,166027,Harvard University,Massachusetts,Montana,Total,2
2015,166027,Harvard University,Massachusetts,Wisconsin,Total,8
2015,166027,Harvard University,Massachusetts,New Jersey,Total,71
2015,166027,Harvard University,Massachusetts,Residence not reported (balance line),Total,17
2015,166027,Harvard University,Massachusetts,Minnesota,Total,23
2015,166027,Harvard University,Massachusetts,Total,Total,1659
2015,166027,Harvard University,Massachusetts,Illinois,Total,42
2015,166027,Harvard University,Massachusetts,Puerto Rico,Total,7
2015,166027,Harvard University,Massachusetts,West Virginia,Total,1
2015,166027,Harvard University,Massachusetts,Arizona,Total,12
2015,166027,Harvard University,Massachusetts,Hawaii,Total,7
2015,166027,Harvard University,Massachusetts,Texas,Total,84
2015,166027,Harvard University,Massachusetts,North Carolina,Total,23
2015,166027,Harvard University,Massachusetts,Alaska,Total,1
2015,166027,Harvard University,Massachusetts,Rhode Island,Total,3
2015,166027,Harvard University,Massachusetts,Washington,Total,18
2015,166027,Harvard University,Massachusetts,Mississippi,Total,4
2015,166027,Harvard University,Massachusetts,Foreign countries,Total,171
2015,166027,Harvard University,Massachusetts,Tennessee,Total,14
2015,166027,Harvard University,Massachusetts,District of Columbia,Total,8
2015,166027,Harvard University,Massachusetts,Idaho,Total,4
2015,166027,Harvard University,Massachusetts,California,Total,249
2015,166027,Harvard University,Massachusetts,Virginia,Total,24
2015,166027,Harvard University,Massachusetts,New York,Total,184
2015,166027,Harvard University,Massachusetts,Nebraska,Total,5
2015,166027,Harvard University,Massachusetts,New Hampshire,Total,8
2015,166027,Harvard University,Massachusetts,Kansas,Total,5
2015,166027,Harvard University,Massachusetts,Iowa,Total,10
2015,166027,Harvard University,Massachusetts,Louisiana,Total,7
2015,166027,Harvard University,Massachusetts,Maryland,Total,34
2015,166027,Harvard University,Massachusetts,Vermont,Total,8
2015,166027,Harvard University,Massachusetts,Kentucky,Total,7
2015,166027,Harvard University,Massachusetts,North Dakota,Total,5
2015,166027,Harvard University,Massachusetts,Utah,Total,9
2015,166027,Harvard University,Massachusetts,Outlying areas total,Total,7
2015,166027,Harvard University,Massachusetts,Colorado,Total,17
2015,166027,Harvard University,Massachusetts,Alabama,Total,8
2015,166027,Harvard University,Massachusetts,Massachusetts,Total,251
2015,166027,Harvard University,Massachusetts,US total,Total,1464
2015,166027,Harvard University,Massachusetts,Delaware,Total,5
2015,166027,Harvard University,Massachusetts,Indiana,Total,16
2015,166027,Harvard University,Massachusetts,South Carolina,Total,6
2015,166027,Harvard University,Massachusetts,Connecticut,Total,39
2015,166027,Harvard University,Massachusetts,Maine,Total,8
2015,166027,Harvard University,Massachusetts,Missouri,Total,11
2015,166027,Harvard University,Massachusetts,Florida,Total,57
2015,166027,Harvard University,Massachusetts,Pennsylvania,Total,47
2014,104179,University of Arizona,Arizona,Outlying areas total,Total,2
2014,104179,University of Arizona,Arizona,Indiana,Total,22
2014,104179,University of Arizona,Arizona,Hawaii,Total,10
2014,104179,University of Arizona,Arizona,California,Total,1360
2014,104179,University of Arizona,Arizona,New Hampshire,Total,4
2014,104179,University of Arizona,Arizona,Kentucky,Total,2
2014,104179,University of Arizona,Arizona,Michigan,Total,18
2014,104179,University of Arizona,Arizona,Connecticut,Total,42
2014,104179,University of Arizona,Arizona,New Jersey,Total,117
2014,104179,University of Arizona,Arizona,New Mexico,Total,26
2014,104179,University of Arizona,Arizona,Wyoming,Total,5
2014,104179,University of Arizona,Arizona,Nevada,Total,73
2014,104179,University of Arizona,Arizona,Utah,Total,23
2014,104179,University of Arizona,Arizona,North Carolina,Total,9
2014,104179,University of Arizona,Arizona,Total,Total,7744
2014,104179,University of Arizona,Arizona,Alabama,Total,3
2014,104179,University of Arizona,Arizona,Oregon,Total,54
2014,104179,University of Arizona,Arizona,Foreign countries,Total,268
2014,104179,University of Arizona,Arizona,Maine,Total,9
2014,104179,University of Arizona,Arizona,Residence not reported (balance line),Total,2
2014,104179,University of Arizona,Arizona,Maryland,Total,34
2014,104179,University of Arizona,Arizona,District of Columbia,Total,3
2014,104179,University of Arizona,Arizona,Tennessee,Total,5
2014,104179,University of Arizona,Arizona,South Dakota,Total,1
2014,104179,University of Arizona,Arizona,Minnesota,Total,35
2014,104179,University of Arizona,Arizona,Montana,Total,7
2014,104179,University of Arizona,Arizona,Washington,Total,153
2014,104179,University of Arizona,Arizona,Nebraska,Total,11
2014,104179,University of Arizona,Arizona,Kansas,Total,16
2014,104179,University of Arizona,Arizona,Rhode Island,Total,4
2014,104179,University of Arizona,Arizona,Iowa,Total,11
2014,104179,University of Arizona,Arizona,Illinois,Total,176
2014,104179,University of Arizona,Arizona,Colorado,Total,140
2014,104179,University of Arizona,Arizona,Arizona,Total,4502
2014,104179,University of Arizona,Arizona,Massachusetts,Total,50
2014,104179,University of Arizona,Arizona,Missouri,Total,31
2014,104179,University of Arizona,Arizona,Delaware,Total,2
2014,104179,University of Arizona,Arizona,Vermont,Total,7
2014,104179,University of Arizona,Arizona,Idaho,Total,20
2014,104179,University of Arizona,Arizona,North Dakota,Total,1
2014,104179,University of Arizona,Arizona,Texas,Total,146
2014,104179,University of Arizona,Arizona,Florida,Total,31
2014,104179,University of Arizona,Arizona,Louisiana,Total,6
2014,104179,University of Arizona,Arizona,Pennsylvania,Total,58
2014,104179,University of Arizona,Arizona,Wisconsin,Total,24
2014,104179,University of Arizona,Arizona,Puerto Rico,Total,2
2014,104179,University of Arizona,Arizona,Ohio,Total,38
2014,104179,University of Arizona,Arizona,Georgia,Total,13
2014,104179,University of Arizona,Arizona,South Carolina,Total,4
2014,104179,University of Arizona,Arizona,State unknown,Total,55
2014,104179,University of Arizona,Arizona,New York,Total,68
2014,104179,University of Arizona,Arizona,West Virginia,Total,2
2014,104179,University of Arizona,Arizona,Oklahoma,Total,7
2014,104179,University of Arizona,Arizona,US total,Total,7472
2014,104179,University of Arizona,Arizona,Virginia,Total,27
2014,104179,University of Arizona,Arizona,Alaska,Total,7
2014,166027,Harvard University,Massachusetts,California,Total,224
2014,166027,Harvard University,Massachusetts,Arkansas,Total,3
2014,166027,Harvard University,Massachusetts,Oregon,Total,14
2014,166027,Harvard University,Massachusetts,Puerto Rico,Total,4
2014,166027,Harvard University,Massachusetts,Maine,Total,6
2014,166027,Harvard University,Massachusetts,Florida,Total,62
2014,166027,Harvard University,Massachusetts,Massachusetts,Total,234
2014,166027,Harvard University,Massachusetts,South Dakota,Total,5
2014,166027,Harvard University,Massachusetts,Oklahoma,Total,5
2014,166027,Harvard University,Massachusetts,Nevada,Total,5
2014,166027,Harvard University,Massachusetts,Louisiana,Total,2
2014,166027,Harvard University,Massachusetts,Foreign countries,Total,215
2014,166027,Harvard University,Massachusetts,Kentucky,Total,4
2014,166027,Harvard University,Massachusetts,Virginia,Total,26
2014,166027,Harvard University,Massachusetts,Minnesota,Total,16
2014,166027,Harvard University,Massachusetts,Rhode Island,Total,14
2014,166027,Harvard University,Massachusetts,Missouri,Total,7
2014,166027,Harvard University,Massachusetts,Connecticut,Total,44
2014,166027,Harvard University,Massachusetts,Vermont,Total,8
2014,166027,Harvard University,Massachusetts,Ohio,Total,25
2014,166027,Harvard University,Massachusetts,Hawaii,Total,11
2014,166027,Harvard University,Massachusetts,Delaware,Total,2
2014,166027,Harvard University,Massachusetts,Guam,Total,1
2014,166027,Harvard University,Massachusetts,Nebraska,Total,2
2014,166027,Harvard University,Massachusetts,Indiana,Total,11
2014,166027,Harvard University,Massachusetts,New Mexico,Total,3
2014,166027,Harvard University,Massachusetts,Pennsylvania,Total,49
2014,166027,Harvard University,Massachusetts,Illinois,Total,35
2014,166027,Harvard University,Massachusetts,Arizona,Total,9
2014,166027,Harvard University,Massachusetts,Wyoming,Total,2
2014,166027,Harvard University,Massachusetts,Michigan,Total,36
2014,166027,Harvard University,Massachusetts,New Hampshire,Total,5
2014,166027,Harvard University,Massachusetts,Alabama,Total,7
2014,166027,Harvard University,Massachusetts,Outlying areas total,Total,7
2014,166027,Harvard University,Massachusetts,North Carolina,Total,17
2014,166027,Harvard University,Massachusetts,New York,Total,207
2014,166027,Harvard University,Massachusetts,North Dakota,Total,2
2014,166027,Harvard University,Massachusetts,Mississippi,Total,3
2014,166027,Harvard University,Massachusetts,US total,Total,1428
2014,166027,Harvard University,Massachusetts,Montana,Total,2
2014,166027,Harvard University,Massachusetts,District of Columbia,Total,10
2014,166027,Harvard University,Massachusetts,Maryland,Total,39
2014,166027,Harvard University,Massachusetts,Georgia,Total,33
2014,166027,Harvard University,Massachusetts,Alaska,Total,3
2014,166027,Harvard University,Massachusetts,Texas,Total,78
2014,166027,Harvard University,Massachusetts,Kansas,Total,5
2014,166027,Harvard University,Massachusetts,Utah,Total,5
2014,166027,Harvard University,Massachusetts,Idaho,Total,5
2014,166027,Harvard University,Massachusetts,West Virginia,Total,3
2014,166027,Harvard University,Massachusetts,Colorado,Total,14
2014,166027,Harvard University,Massachusetts,Washington,Total,25
2014,166027,Harvard University,Massachusetts,Wisconsin,Total,8
2014,166027,Harvard University,Massachusetts,South Carolina,Total,6
2014,166027,Harvard University,Massachusetts,Iowa,Total,3
2014,166027,Harvard University,Massachusetts,Virgin Islands,Total,2
2014,166027,Harvard University,Massachusetts,Tennessee,Total,10
2014,166027,Harvard University,Massachusetts,Total,Total,1650
2014,166027,Harvard University,Massachusetts,New Jersey,Total,74
2013,104179,University of Arizona,Arizona,Nebraska,Total,7
2013,104179,University of Arizona,Arizona,Utah,Total,12
2013,104179,University of Arizona,Arizona,Maryland,Total,30
2013,104179,University of Arizona,Arizona,State unknown,Total,193
2013,104179,University of Arizona,Arizona,New Mexico,Total,33
2013,104179,University of Arizona,Arizona,Guam,Total,1
2013,104179,University of Arizona,Arizona,Outlying areas total,Total,3
2013,104179,University of Arizona,Arizona,Residence not reported (balance line),Total,3
2013,104179,University of Arizona,Arizona,West Virginia,Total,1
2013,104179,University of Arizona,Arizona,Montana,Total,3
2013,104179,University of Arizona,Arizona,California,Total,1232
2013,104179,University of Arizona,Arizona,Kentucky,Total,2
2013,104179,University of Arizona,Arizona,Nevada,Total,58
2013,104179,University of Arizona,Arizona,Total,Total,6881
2013,104179,University of Arizona,Arizona,New Jersey,Total,71
2013,104179,University of Arizona,Arizona,Kansas,Total,10
2013,104179,University of Arizona,Arizona,Virginia,Total,28
2013,104179,University of Arizona,Arizona,North Carolina,Total,5
2013,104179,University of Arizona,Arizona,Hawaii,Total,8
2013,104179,University of Arizona,Arizona,South Carolina,Total,2
2013,104179,University of Arizona,Arizona,Ohio,Total,13
2013,104179,University of Arizona,Arizona,Texas,Total,101
2013,104179,University of Arizona,Arizona,Wisconsin,Total,16
2013,104179,University of Arizona,Arizona,Pennsylvania,Total,38
2013,104179,University of Arizona,Arizona,Delaware,Total,3
2013,104179,University of Arizona,Arizona,Iowa,Total,3
2013,104179,University of Arizona,Arizona,Massachusetts,Total,21
2013,104179,University of Arizona,Arizona,Louisiana,Total,3
2013,104179,University of Arizona,Arizona,Alabama,Total,6
2013,104179,University of Arizona,Arizona,Indiana,Total,9
2013,104179,University of Arizona,Arizona,Alaska,Total,9
2013,104179,University of Arizona,Arizona,Puerto Rico,Total,2
2013,104179,University of Arizona,Arizona,New Hampshire,Total,2
2013,104179,University of Arizona,Arizona,Illinois,Total,127
2013,104179,University of Arizona,Arizona,Connecticut,Total,22
2013,104179,University of Arizona,Arizona,Arizona,Total,4334
2013,104179,University of Arizona,Arizona,Oklahoma,Total,6
2013,104179,University of Arizona,Arizona,US total,Total,6875
2013,104179,University of Arizona,Arizona,Washington,Total,144
2013,104179,University of Arizona,Arizona,Maine,Total,2
2013,104179,University of Arizona,Arizona,Wyoming,Total,2
2013,104179,University of Arizona,Arizona,Rhode Island,Total,2
2013,104179,University of Arizona,Arizona,Michigan,Total,21
2013,104179,University of Arizona,Arizona,Idaho,Total,21
2013,104179,University of Arizona,Arizona,Minnesota,Total,17
2013,104179,University of Arizona,Arizona,New York,Total,48
2013,104179,University of Arizona,Arizona,Missouri,Total,19
2013,104179,University of Arizona,Arizona,South Dakota,Total,3
2013,104179,University of Arizona,Arizona,Georgia,Total,18
2013,104179,University of Arizona,Arizona,Florida,Total,24
2013,104179,University of Arizona,Arizona,Tennessee,Total,5
2013,104179,University of Arizona,Arizona,Colorado,Total,100
2013,104179,University of Arizona,Arizona,Arkansas,Total,3
2013,104179,University of Arizona,Arizona,District of Columbia,Total,3
2013,104179,University of Arizona,Arizona,Oregon,Total,35
2012,104179,University of Arizona,Arizona,Florida,Total,28
2012,104179,University of Arizona,Arizona,Oklahoma,Total,8
2012,104179,University of Arizona,Arizona,South Carolina,Total,2
2012,104179,University of Arizona,Arizona,Outlying areas total,Total,7
2012,104179,University of Arizona,Arizona,Louisiana,Total,5
2012,104179,University of Arizona,Arizona,Montana,Total,5
2012,104179,University of Arizona,Arizona,Texas,Total,166
2012,104179,University of Arizona,Arizona,Illinois,Total,133
2012,104179,University of Arizona,Arizona,South Dakota,Total,1
2012,104179,University of Arizona,Arizona,District of Columbia,Total,7
2012,104179,University of Arizona,Arizona,Missouri,Total,23
2012,104179,University of Arizona,Arizona,Hawaii,Total,9
2012,104179,University of Arizona,Arizona,Arkansas,Total,1
2012,104179,University of Arizona,Arizona,State unknown,Total,41
2012,104179,University of Arizona,Arizona,Virgin Islands,Total,1
2012,104179,University of Arizona,Arizona,Alabama,Total,8
