year,unitid,inst_name,state_name,state_of_residence,type_of_freshman,enrollment_fall
2003,104179,UNIVERSITY OF ARIZONA,Arizona,District of Columbia,Total,2
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Maryland,Total,24
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Tennessee,Total,11
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Nebraska,Total,5
2003,104179,UNIVERSITY OF ARIZONA,Arizona,New Hampshire,Total,3
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Montana,Total,4
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Kansas,Total,19
2003,104179,UNIVERSITY OF ARIZONA,Arizona,California,Total,745
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Hawaii,Total,9
2003,104179,UNIVERSITY OF ARIZONA,Arizona,South Carolina,Total,1
2003,104179,UNIVERSITY OF ARIZONA,Arizona,South Dakota,Total,3
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Maine,Total,3
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Rhode Island,Total,3
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Massachusetts,Total,24
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Alabama,Total,4
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Texas,Total,129
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Michigan,Total,32
2003,104179,UNIVERSITY OF ARIZONA,Arizona,New Mexico,Total,53
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Wisconsin,Total,30
2003,104179,UNIVERSITY OF ARIZONA,Arizona,New York,Total,57
2003,104179,UNIVERSITY OF ARIZONA,Arizona,US total,Total,5910
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Guam,Total,2
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Oklahoma,Total,5
2003,104179,UNIVERSITY OF ARIZONA,Arizona,North Carolina,Total,8
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Vermont,Total,4
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Idaho,Total,7
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Total,Total,5958
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Ohio,Total,38
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Kentucky,Total,5
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Iowa,Total,16
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Virginia,Total,21
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Puerto Rico,Total,1
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Outlying areas total,Total,3
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Mississippi,Total,3
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Washington,Total,74
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Pennsylvania,Total,34
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Louisiana,Total,4
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Wyoming,Total,4
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Minnesota,Total,43
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Georgia,Total,10
2003,104179,UNIVERSITY OF ARIZONA,Arizona,Illinois,Total,112
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Utah,Total,11
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Kansas,Total,12
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Indiana,Total,14
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Louisiana,Total,4
2002,104179,UNIVERSITY OF ARIZONA,Arizona,US total,Total,5746
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Vermont,Total,5
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Outlying areas total,Total,1
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Delaware,Total,2
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Alaska,Total,6
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Iowa,Total,5
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Pennsylvania,Total,51
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Virginia,Total,19
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Ohio,Total,31
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Wisconsin,Total,29
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Idaho,Total,15
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Maine,Total,3
2002,104179,UNIVERSITY OF ARIZONA,Arizona,New Hampshire,Total,4
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Colorado,Total,65
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Missouri,Total,19
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Michigan,Total,22
2002,104179,UNIVERSITY OF ARIZONA,Arizona,South Dakota,Total,4
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Montana,Total,5
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Nebraska,Total,6
2002,104179,UNIVERSITY OF ARIZONA,Arizona,New Jersey,Total,60
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Rhode Island,Total,3
2002,104179,UNIVERSITY OF ARIZONA,Arizona,South Carolina,Total,3
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Oklahoma,Total,4
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Minnesota,Total,35
2002,104179,UNIVERSITY OF ARIZONA,Arizona,California,Total,772
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Washington,Total,103
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Texas,Total,97
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Maryland,Total,21
2002,104179,UNIVERSITY OF ARIZONA,Arizona,New York,Total,47
2002,104179,UNIVERSITY OF ARIZONA,Arizona,State unknown,Total,57
2002,104179,UNIVERSITY OF ARIZONA,Arizona,North Dakota,Total,2
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Oregon,Total,50
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Georgia,Total,19
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Northern Marianas,Total,1
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Florida,Total,18
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Massachusetts,Total,20
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Alabama,Total,5
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Connecticut,Total,28
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Arizona,Total,3799
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Mississippi,Total,3
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Hawaii,Total,11
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Kentucky,Total,1
2002,104179,UNIVERSITY OF ARIZONA,Arizona,New Mexico,Total,44
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Wyoming,Total,8
2002,104179,UNIVERSITY OF ARIZONA,Arizona,District of Columbia,Total,5
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Illinois,Total,134
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Total,Total,5808
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Foreign countries,Total,61
2002,104179,UNIVERSITY OF ARIZONA,Arizona,North Carolina,Total,12
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Arkansas,Total,1
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Nevada,Total,38
2002,104179,UNIVERSITY OF ARIZONA,Arizona,Tennessee,Total,14
2002,166027,HARVARD UNIVERSITY,Massachusetts,Guam,Total,1
2002,166027,HARVARD UNIVERSITY,Massachusetts,Maryland,Total,53
2002,166027,HARVARD UNIVERSITY,Massachusetts,Nevada,Total,1
2002,166027,HARVARD UNIVERSITY,Massachusetts,Hawaii,Total,11
2002,166027,HARVARD UNIVERSITY,Massachusetts,Tennessee,Total,8
2002,166027,HARVARD UNIVERSITY,Massachusetts,Minnesota,Total,19
2002,166027,HARVARD UNIVERSITY,Massachusetts,New York,Total,224
2002,166027,HARVARD UNIVERSITY,Massachusetts,Iowa,Total,5
2002,166027,HARVARD UNIVERSITY,Massachusetts,Wyoming,Total,1
2002,166027,HARVARD UNIVERSITY,Massachusetts,Oklahoma,Total,8
2002,166027,HARVARD UNIVERSITY,Massachusetts,Montana,Total,8
2002,166027,HARVARD UNIVERSITY,Massachusetts,West Virginia,Total,3
2002,166027,HARVARD UNIVERSITY,Massachusetts,Connecticut,Total,42
2002,166027,HARVARD UNIVERSITY,Massachusetts,Kentucky,Total,7
2002,166027,HARVARD UNIVERSITY,Massachusetts,Ohio,Total,34
2002,166027,HARVARD UNIVERSITY,Massachusetts,Outlying areas total,Total,14
2002,166027,HARVARD UNIVERSITY,Massachusetts,Michigan,Total,24
2002,166027,HARVARD UNIVERSITY,Massachusetts,Texas,Total,65
2002,166027,HARVARD UNIVERSITY,Massachusetts,Puerto Rico,Total,11
2002,166027,HARVARD UNIVERSITY,Massachusetts,Louisiana,Total,7
2002,166027,HARVARD UNIVERSITY,Massachusetts,Missouri,Total,15
2002,166027,HARVARD UNIVERSITY,Massachusetts,Maine,Total,13
2002,166027,HARVARD UNIVERSITY,Massachusetts,Kansas,Total,6
2002,166027,HARVARD UNIVERSITY,Massachusetts,Nebraska,Total,1
2002,166027,HARVARD UNIVERSITY,Massachusetts,Virginia,Total,26
2002,166027,HARVARD UNIVERSITY,Massachusetts,Delaware,Total,6
2002,166027,HARVARD UNIVERSITY,Massachusetts,Washington,Total,17
2002,166027,HARVARD UNIVERSITY,Massachusetts,North Dakota,Total,3
2002,166027,HARVARD UNIVERSITY,Massachusetts,Alaska,Total,1
2002,166027,HARVARD UNIVERSITY,Massachusetts,Idaho,Total,5
2002,166027,HARVARD UNIVERSITY,Massachusetts,South Carolina,Total,4
2002,166027,HARVARD UNIVERSITY,Massachusetts,Oregon,Total,11
2002,166027,HARVARD UNIVERSITY,Massachusetts,Colorado,Total,13
2002,166027,HARVARD UNIVERSITY,Massachusetts,Arizona,Total,4
2002,166027,HARVARD UNIVERSITY,Massachusetts,South Dakota,Total,2
2002,166027,HARVARD UNIVERSITY,Massachusetts,Rhode Island,Total,8
2002,166027,HARVARD UNIVERSITY,Massachusetts,Vermont,Total,9
2002,166027,HARVARD UNIVERSITY,Massachusetts,Georgia,Total,21
2002,166027,HARVARD UNIVERSITY,Massachusetts,New Hampshire,Total,6
2002,166027,HARVARD UNIVERSITY,Massachusetts,Virgin Islands,Total,2
2002,166027,HARVARD UNIVERSITY,Massachusetts,Alabama,Total,8
2002,166027,HARVARD UNIVERSITY,Massachusetts,California,Total,188
2002,166027,HARVARD UNIVERSITY,Massachusetts,District of Columbia,Total,11
2002,166027,HARVARD UNIVERSITY,Massachusetts,New Mexico,Total,4
2002,166027,HARVARD UNIVERSITY,Massachusetts,Massachusetts,Total,241
2002,166027,HARVARD UNIVERSITY,Massachusetts,Pennsylvania,Total,58
2002,166027,HARVARD UNIVERSITY,Massachusetts,Florida,Total,67
2002,166027,HARVARD UNIVERSITY,Massachusetts,New Jersey,Total,90
2002,166027,HARVARD UNIVERSITY,Massachusetts,Total,Total,1625
2002,166027,HARVARD UNIVERSITY,Massachusetts,US total,Total,1483
2002,166027,HARVARD UNIVERSITY,Massachusetts,Illinois,Total,48
2002,166027,HARVARD UNIVERSITY,Massachusetts,Indiana,Total,12
2002,166027,HARVARD UNIVERSITY,Massachusetts,Arkansas,Total,2
2002,166027,HARVARD UNIVERSITY,Massachusetts,Foreign countries,Total,128
2002,166027,HARVARD UNIVERSITY,Massachusetts,State unknown,Total,20
2002,166027,HARVARD UNIVERSITY,Massachusetts,North Carolina,Total,22
2002,166027,HARVARD UNIVERSITY,Massachusetts,Utah,Total,2
2002,166027,HARVARD UNIVERSITY,Massachusetts,Wisconsin,Total,19
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Kansas,Total,13
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Minnesota,Total,36
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Delaware,Total,1
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Connecticut,Total,31
2001,104179,UNIVERSITY OF ARIZONA,Arizona,New York,Total,60
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Residence not reported (balance line),Total,48
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Missouri,Total,21
2001,104179,UNIVERSITY OF ARIZONA,Arizona,South Dakota,Total,4
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Utah,Total,9
2001,104179,UNIVERSITY OF ARIZONA,Arizona,New Hampshire,Total,7
2001,104179,UNIVERSITY OF ARIZONA,Arizona,New Mexico,Total,56
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Indiana,Total,18
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Kentucky,Total,6
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Wyoming,Total,5
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Oklahoma,Total,8
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Idaho,Total,19
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Montana,Total,5
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Guam,Total,1
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Alaska,Total,17
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Michigan,Total,25
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Massachusetts,Total,29
2001,104179,UNIVERSITY OF ARIZONA,Arizona,California,Total,845
2001,104179,UNIVERSITY OF ARIZONA,Arizona,New Jersey,Total,54
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Washington,Total,87
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Tennessee,Total,14
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Mississippi,Total,1
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Oregon,Total,57
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Ohio,Total,35
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Alabama,Total,5
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Iowa,Total,14
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Total,Total,5949
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Pennsylvania,Total,39
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Foreign countries,Total,51
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Nebraska,Total,13
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Colorado,Total,79
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Maine,Total,4
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Georgia,Total,12
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Maryland,Total,22
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Louisiana,Total,6
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Arkansas,Total,1
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Wisconsin,Total,35
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Florida,Total,14
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Virginia,Total,21
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Nevada,Total,30
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Hawaii,Total,14
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Illinois,Total,124
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Vermont,Total,7
2001,104179,UNIVERSITY OF ARIZONA,Arizona,State unknown,Total,4
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Arizona,Total,3792
2001,104179,UNIVERSITY OF ARIZONA,Arizona,US total,Total,5849
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Texas,Total,124
2001,104179,UNIVERSITY OF ARIZONA,Arizona,District of Columbia,Total,5
2001,104179,UNIVERSITY OF ARIZONA,Arizona,North Carolina,Total,10
2001,104179,UNIVERSITY OF ARIZONA,Arizona,South Carolina,Total,4
2001,104179,UNIVERSITY OF ARIZONA,Arizona,North Dakota,Total,3
2001,104179,UNIVERSITY OF ARIZONA,Arizona,Rhode Island,Total,4