,Entity,Year,Suicides,Unemployment Rate,Suicides % Change,Suicides Log,Unemployment Rate % Change,Unemployment Rate Log
0,United States,1950,11.221060000000001,5.208333333333333,0.0,2.417792369785446,0.0,1.6502599069543555
1,United States,1951,10.248619999999999,3.2833333333333337,-0.08666204440578718,2.3271430623740854,-0.36959999999999993,1.1888591665158879
2,United States,1952,9.890234,3.0250000000000004,-0.034969195852709856,2.291547805617613,-0.07868020304568524,1.1069110914828049
3,United States,1953,9.985363000000001,2.9250000000000003,0.009618478187674917,2.3011203207387663,-0.03305785123966942,1.0732944806838198
4,United States,1954,10.05145,5.591666666666666,0.006618387333540143,2.3077169027048927,0.9116809116809113,1.7212773941896358
5,United States,1955,10.12583,4.366666666666667,0.007399927373662463,2.315089584941453,-0.21907600596125165,1.4739999415389964
6,United States,1956,9.942091,4.125,-0.018145574239346374,2.2967773607185014,-0.055343511450381744,1.4170660197866443
7,United States,1957,9.770529,4.3,-0.01725612851461522,2.2793706099317714,0.042424242424242475,1.4586150226995167
8,United States,1958,10.75953,6.841666666666666,0.10122287135118269,2.3757918734822288,0.5910852713178294,1.9230313666703822
9,United States,1959,10.66436,5.45,-0.008845181899209353,2.3669073407462142,-0.2034104750304505,1.6956156086751528
10,United States,1960,10.78558,5.541666666666667,0.011366833077653071,2.378210056791034,0.01681957186544336,1.7122952978738082
11,United States,1961,10.61668,6.691666666666666,-0.0156597976186722,2.362426349236244,0.207518796992481,1.9008629711647156
12,United States,1962,11.17855,5.566666666666667,0.052923324429105856,2.4139967634302044,-0.1681195516811954,1.7167964307545998
13,United States,1963,11.40495,5.641666666666667,0.020253073967553936,2.4340474716846545,0.013473053892215425,1.730179530130229
14,United States,1964,11.15046,5.158333333333333,-0.022313995238909312,2.4114807526605198,-0.08567208271787297,1.6406135299025502
15,United States,1965,11.52387,4.508333333333334,0.0334883045183787,2.4444205363533773,-0.12600969305331167,1.5059275360644355
16,United States,1966,11.28246,3.7916666666666665,-0.020948691715543477,2.423249307399196,-0.15896487985212582,1.3328056761689044
17,United States,1967,11.19782,3.8416666666666663,-0.007501910044440674,2.4157191164985266,0.01318681318681314,1.3459063002146023
18,United States,1968,11.05477,3.558333333333333,-0.012774807953691014,2.4028620090274,-0.07375271149674623,1.2692922704465786
19,United States,1969,11.40742,3.4916666666666667,0.03190025663130047,2.43426402086474,-0.01873536299765799,1.2503791771400918
20,United States,1970,11.83682,4.983333333333333,0.03764216623916705,2.4712150123004206,0.4272076372315037,1.6060990111685858
21,United States,1971,11.877839999999999,5.95,0.0034654577834249967,2.474674479221751,0.19397993311036799,1.7833912195575383
22,United States,1972,12.13471,5.6000000000000005,0.02162598586948472,2.4960699410767733,-0.05882352941176461,1.7227665977411037
23,United States,1973,12.00975,4.8583333333333325,-0.01029773270230605,2.4857188198885587,-0.13244047619047639,1.5806954435684462
24,United States,1974,12.12908,5.641666666666667,0.009936093590624306,2.4956058750672145,0.16123499142367081,1.730179530130229
25,United States,1975,12.45698,8.475,0.027034202099417204,2.5222811083796675,0.5022156573116692,2.137120653266514
26,United States,1976,12.09256,7.699999999999999,-0.02925428153533194,2.4925903874558446,-0.09144542772861364,2.0412203288596382
27,United States,1977,12.67173,7.050000000000001,0.04789473858306259,2.539373528026895,-0.08441558441558428,1.9530276168241774
28,United States,1978,11.81377,6.066666666666666,-0.06770661938030564,2.4692658002682415,-0.13947990543735234,1.80280930541464
29,United States,1979,11.56452,5.8500000000000005,-0.02109826075842003,2.4479417902825062,-0.03571428571428559,1.7664416612437652
30,United States,1980,11.24043,7.175000000000001,-0.028024509447862944,2.4195170999615523,0.22649572649572658,1.970602761645685
31,United States,1981,11.41708,7.616666666666667,0.015715590951591807,2.435110479764324,0.061556329849012714,2.0303388286721042
32,United States,1982,11.4899,9.708333333333332,0.006378163243141,2.4414683886026,0.2746170678336979,2.272984623217755
33,United States,1983,11.34989,9.6,-0.012185484643034372,2.4292080522504915,-0.011158798283261717,2.2617630984737906
34,United States,1984,11.54221,7.508333333333334,0.016944657613421787,2.446010750543636,-0.21788194444444442,2.016013514826292
35,United States,1985,11.44829,7.191666666666666,-0.00813708986407291,2.437840373869011,-0.04217536071032191,1.972922948301382
36,United States,1986,11.84603,7.0,0.03474230649293486,2.471992790351989,-0.02665121668597914,1.9459101490553132
37,United States,1987,11.65775,6.175000000000001,-0.01589393239760495,2.4559711948917915,-0.11785714285714277,1.820508882514041
38,United States,1988,11.394919999999999,5.491666666666666,-0.022545516930797205,2.4331676420499226,-0.11066126855600555,1.7032317917204611
39,United States,1989,11.25343,5.258333333333333,-0.012416936670024858,2.420672971070146,-0.04248861911987867,1.6598141197591672
40,United States,1990,11.452169999999999,5.616666666666666,0.017660393320080958,2.438179231694323,0.06814580031695727,1.725738368130261
41,United States,1991,11.2965,6.849999999999999,-0.013593057036351941,2.424492943227379,0.2195845697329375,1.9242486522741338
42,United States,1992,11.05505,7.491666666666667,-0.02137387686451564,2.4028873371395254,0.09367396593673982,2.013791291689574
43,United States,1993,11.188419999999999,6.908333333333332,0.012064169768567279,2.414879314856763,-0.077864293659622,1.9327284123532489
44,United States,1994,11.127139999999999,6.1000000000000005,-0.005477091492811281,2.4093871691041393,-0.1170084439083231,1.8082887711792657
45,United States,1995,11.058769999999999,5.591666666666668,-0.006144436036573664,2.403223778336486,-0.08333333333333326,1.721277394189636
46,United States,1996,10.77281,5.408333333333334,-0.025858210271124116,2.377025367072224,-0.032786885245901676,1.6879409739220441
47,United States,1997,10.520439999999999,4.941666666666666,-0.02342657115460134,2.353320031529976,-0.08628659476117118,1.5977026562156793
48,United States,1998,10.38139,4.5,-0.013217127800738249,2.340014780140431,-0.08937605396290049,1.5040773967762742
49,United States,1999,9.817642,4.216666666666668,-0.05430371077476137,2.2841809713328307,-0.06296296296296278,1.4390449265054197
50,United States,2000,9.532645,3.9666666666666663,-0.02902906828340235,2.254722223753747,-0.05928853754940744,1.377926111449374
51,United States,2001,9.811729,4.741666666666666,0.02927665931124035,2.28357850677308,0.19537815126050417,1.5563886913442848
52,United States,2002,9.95536,5.783333333333334,0.01463870435068082,2.2981110995945992,0.21968365553602842,1.7549802177247587
53,United States,2003,9.815033,5.991666666666667,-0.014095622860449186,2.2839151899234853,0.03602305475504308,1.7903696149390007
54,United States,2004,10.02633,5.541666666666667,0.021527895015737597,2.305214632722145,-0.07510431154381092,1.7122952978738082
55,United States,2005,9.927033,5.083333333333333,-0.00990362375864351,2.29526164186921,-0.08270676691729328,1.6259672143853108
56,United States,2006,10.97,4.608333333333333,0.10506331549416648,2.395164274287139,-0.09344262295081962,1.527866258740289
57,United States,2007,11.27,4.616666666666667,0.027347310847766648,2.422144328051685,0.001808318264014508,1.529672943965238
58,United States,2008,11.6,5.8,0.02928127772848277,2.451005098112319,0.2563176895306858,1.7578579175523736
59,United States,2009,11.75,9.283333333333333,0.012931034482758674,2.463853240590168,0.6005747126436782,2.2282206777051834
60,United States,2010,12.08,9.608333333333333,0.028085106382978786,2.4915511925066687,0.035008976660682256,2.262630777487013
61,United States,2011,12.32,8.933333333333334,0.019867549668874274,2.511223958105374,-0.07025151777970506,2.1897895988487015
62,United States,2012,12.54,8.075000000000001,0.017857142857142794,2.5289235352047745,-0.09608208955223874,2.08877286910872
63,United States,2013,12.57,7.358333333333334,0.0023923444976077235,2.531313022602156,-0.08875128998968007,1.9958334578219141
64,United States,2014,12.93,6.158333333333334,0.02863961813842475,2.559550192783766,-0.16308040770101928,1.8178061781661559
65,United States,2015,13.26,5.275,0.025522041763341052,2.5847519847577165,-0.14343707713125853,1.6629786793621302
